epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17710.4,2.31325,3.81636,3.80968,0.42821,0.32086,0.30918,0.17702,3.14974,4.52947,3.97122,0.00955072,0.00955072,0.00955072
43,18133.7,2.314,3.7851,3.80227,0.43091,0.33441,0.31431,0.18034,3.14375,4.51454,3.96639,0.00952889,0.00952889,0.00952889
44,18553.1,2.31039,3.73555,3.79486,0.43446,0.33011,0.31933,0.18306,3.1359,4.49611,3.94852,0.00950658,0.00950658,0.00950658
45,18974.9,2.3056,3.70441,3.77265,0.43696,0.33127,0.32368,0.18736,3.12411,4.48085,3.93248,0.00948377,0.00948377,0.00948377
46,19398.4,2.27997,3.67482,3.76239,0.44051,0.33232,0.32739,0.19009,3.11426,4.46916,3.91522,0.00946048,0.00946048,0.00946048
47,19817.9,2.28244,3.62722,3.75085,0.44371,0.33091,0.33144,0.19277,3.11187,4.45813,3.91364,0.00943671,0.00943671,0.00943671
48,20239.5,2.27635,3.5747,3.73817,0.43848,0.32603,0.33543,0.19559,3.10533,4.4379,3.90872,0.00941245,0.00941245,0.00941245
49,20663,2.26434,3.57139,3.73197,0.44647,0.32084,0.33869,0.1995,3.09833,4.42499,3.8997,0.00938772,0.00938772,0.00938772
50,21084,2.263,3.54185,3.71658,0.47502,0.32292,0.3436,0.20328,3.09561,4.40537,3.89282,0.00936251,0.00936251,0.00936251
51,21504.8,2.26113,3.50647,3.72019,0.50614,0.31973,0.34722,0.20601,3.09126,4.38797,3.88173,0.00933683,0.00933683,0.00933683
52,21928.5,2.25696,3.49937,3.70352,0.50511,0.31967,0.35123,0.20951,3.08043,4.38832,3.86723,0.00931067,0.00931067,0.00931067
53,22347.8,2.24114,3.44509,3.68496,0.52263,0.31948,0.35573,0.21386,3.06835,4.38516,3.85519,0.00928405,0.00928405,0.00928405
54,22767.9,2.25353,3.40904,3.69707,0.51757,0.32359,0.35946,0.21561,3.0695,4.36829,3.84981,0.00925697,0.00925697,0.00925697
55,23191.5,2.24164,3.40174,3.69174,0.5262,0.32353,0.36464,0.21777,3.07442,4.34831,3.84547,0.00922942,0.00922942,0.00922942
56,23612.5,2.23142,3.37336,3.66683,0.52725,0.31947,0.36891,0.22118,3.06943,4.3374,3.8396,0.00920142,0.00920142,0.00920142
57,24035.3,2.22721,3.34829,3.66814,0.53632,0.32377,0.37361,0.22417,3.06292,4.32682,3.8322,0.00917296,0.00917296,0.00917296
58,24454.8,2.22497,3.31879,3.66656,0.54004,0.32051,0.37601,0.22628,3.05919,4.31635,3.82641,0.00914405,0.00914405,0.00914405
59,24878.6,2.20368,3.31203,3.6522,0.54671,0.31691,0.3798,0.22909,3.05593,4.30253,3.82148,0.00911469,0.00911469,0.00911469
60,25298.2,2.19411,3.27025,3.63459,0.54777,0.31733,0.38132,0.23005,3.0476,4.29511,3.81323,0.00908488,0.00908488,0.00908488
61,25719.6,2.19811,3.21311,3.62736,0.55672,0.3216,0.38417,0.23215,3.04193,4.29139,3.80619,0.00905463,0.00905463,0.00905463
62,26140.4,2.20339,3.21664,3.62703,0.57236,0.32277,0.38875,0.23525,3.04115,4.27594,3.79762,0.00902395,0.00902395,0.00902395
63,26563.6,2.19123,3.1877,3.61864,0.58891,0.3309,0.39273,0.23735,3.033,4.26842,3.79496,0.00899282,0.00899282,0.00899282
64,26986.3,2.17874,3.17755,3.60968,0.5997,0.33402,0.39539,0.23912,3.02798,4.26679,3.78826,0.00896127,0.00896127,0.00896127
65,27408.5,2.18606,3.14295,3.60183,0.6081,0.3347,0.39884,0.24159,3.0203,4.27026,3.77941,0.00892928,0.00892928,0.00892928
66,27829.3,2.18727,3.12524,3.60378,0.61382,0.33612,0.40073,0.24254,3.01577,4.27121,3.7729,0.00889687,0.00889687,0.00889687
67,28252.2,2.1751,3.1087,3.58997,0.62302,0.33809,0.40561,0.24617,3.01229,4.26939,3.7664,0.00886404,0.00886404,0.00886404
68,28674.2,2.1753,3.05308,3.57889,0.62133,0.33815,0.40608,0.24715,3.00398,4.27285,3.75721,0.00883079,0.00883079,0.00883079
69,29093.1,2.18062,3.04297,3.58248,0.62689,0.33815,0.40991,0.24986,3.00355,4.26335,3.75261,0.00879713,0.00879713,0.00879713
70,29515.2,2.16822,3.02327,3.57739,0.63455,0.34239,0.41286,0.25288,3.00156,4.25964,3.74615,0.00876305,0.00876305,0.00876305
71,29938.1,2.16871,2.99343,3.57077,0.63789,0.34241,0.41367,0.2547,3.00304,4.24676,3.74886,0.00872857,0.00872857,0.00872857
72,30359.6,2.15158,2.97754,3.5536,0.63449,0.34125,0.41467,0.25602,3.00103,4.23851,3.7435,0.00869368,0.00869368,0.00869368
73,30781.9,2.15008,2.97407,3.55256,0.65561,0.3381,0.4174,0.25925,2.99889,4.23377,3.73768,0.00865839,0.00865839,0.00865839
74,31202.5,2.14669,2.9484,3.55211,0.6613,0.34115,0.41954,0.26183,2.99916,4.2264,3.73388,0.00862271,0.00862271,0.00862271
75,31623,2.14285,2.91162,3.54357,0.67591,0.34128,0.42211,0.26368,2.9949,4.2166,3.72639,0.00858664,0.00858664,0.00858664
76,32047.2,2.13855,2.90379,3.54281,0.67091,0.34176,0.42517,0.26562,2.99032,4.21577,3.72037,0.00855018,0.00855018,0.00855018
77,32468.5,2.13406,2.88256,3.53177,0.66476,0.34463,0.42667,0.26686,2.98856,4.21418,3.71838,0.00851333,0.00851333,0.00851333
78,32890.6,2.11479,2.85521,3.51381,0.66358,0.34473,0.42852,0.2674,2.97904,4.21073,3.7106,0.00847611,0.00847611,0.00847611
79,33309.5,2.13321,2.83163,3.52339,0.65522,0.34856,0.4311,0.26922,2.9678,4.20966,3.69804,0.00843851,0.00843851,0.00843851
80,33733,2.11481,2.79148,3.50252,0.6536,0.34319,0.43255,0.27065,2.97137,4.19601,3.69355,0.00840054,0.00840054,0.00840054
81,34155.7,2.12178,2.77869,3.5074,0.66241,0.34689,0.43553,0.27288,2.96738,4.19012,3.68775,0.0083622,0.0083622,0.0083622
82,34578.2,2.10727,2.76208,3.49501,0.65157,0.35277,0.43807,0.27303,2.96728,4.18695,3.68501,0.00832349,0.00832349,0.00832349
83,34999.3,2.10417,2.72862,3.48597,0.6458,0.35554,0.44137,0.27535,2.96721,4.17389,3.6814,0.00828443,0.00828443,0.00828443
84,35420.7,2.11411,2.72124,3.49537,0.62595,0.36273,0.44335,0.27683,2.96317,4.15836,3.67628,0.00824502,0.00824502,0.00824502
85,35844,2.09859,2.70566,3.48675,0.63433,0.36463,0.44685,0.27986,2.9631,4.14248,3.67218,0.00820525,0.00820525,0.00820525
86,36265.4,2.09913,2.68623,3.47615,0.65046,0.36675,0.44904,0.28219,2.96714,4.1249,3.66978,0.00816514,0.00816514,0.00816514
87,36687,2.08749,2.66732,3.47539,0.64501,0.36842,0.45292,0.28414,2.95268,4.12651,3.66085,0.00812468,0.00812468,0.00812468
88,37109.8,2.06993,2.64875,3.4473,0.64666,0.37189,0.45685,0.2869,2.95356,4.11199,3.65672,0.00808389,0.00808389,0.00808389
89,37531.3,2.08626,2.63466,3.46886,0.6582,0.37915,0.4603,0.28976,2.94842,4.09676,3.65199,0.00804277,0.00804277,0.00804277
90,37954.6,2.08767,2.60718,3.45364,0.6541,0.37925,0.46285,0.29168,2.94331,4.08079,3.64429,0.00800131,0.00800131,0.00800131
91,38375.1,2.07452,2.5782,3.44073,0.65338,0.38227,0.46482,0.29403,2.94199,4.06009,3.63705,0.00795954,0.00795954,0.00795954
92,38797.1,2.07286,2.56856,3.43191,0.65208,0.38263,0.46669,0.29582,2.92899,4.0535,3.62237,0.00791744,0.00791744,0.00791744
93,39219.9,2.0586,2.54259,3.42948,0.65274,0.38358,0.46959,0.29892,2.92243,4.03912,3.61794,0.00787503,0.00787503,0.00787503
94,39641.5,2.06292,2.53462,3.43053,0.64896,0.39062,0.47388,0.30227,2.91683,4.0247,3.61285,0.00783231,0.00783231,0.00783231
95,40062.1,2.05047,2.52574,3.41373,0.64918,0.39418,0.47674,0.30541,2.91601,3.9998,3.60806,0.00778929,0.00778929,0.00778929
96,40483.6,2.05674,2.50628,3.41925,0.64771,0.39778,0.48007,0.30778,2.90559,3.99081,3.59953,0.00774596,0.00774596,0.00774596
97,40904.1,2.04356,2.4717,3.40756,0.65417,0.3995,0.48395,0.30998,2.90061,3.97963,3.59272,0.00770234,0.00770234,0.00770234
98,41324.7,2.04067,2.44311,3.401,0.65751,0.40254,0.48625,0.31152,2.89802,3.96437,3.58643,0.00765843,0.00765843,0.00765843
99,41746.7,2.04521,2.41969,3.40349,0.65695,0.40198,0.49029,0.31518,2.88773,3.96109,3.57892,0.00761423,0.00761423,0.00761423
100,42167.6,2.0344,2.42003,3.39609,0.65786,0.40274,0.49418,0.31812,2.88777,3.94852,3.57879,0.00756976,0.00756976,0.00756976
101,42588.9,2.03731,2.4143,3.40351,0.65931,0.4024,0.49646,0.32073,2.87987,3.93951,3.57318,0.007525,0.007525,0.007525
102,43008.8,2.02796,2.37591,3.38234,0.66391,0.40997,0.49832,0.32287,2.87068,3.92991,3.56939,0.00747997,0.00747997,0.00747997
103,43428,2.03124,2.36195,3.3823,0.67299,0.40821,0.50187,0.32569,2.86913,3.90324,3.56515,0.00743468,0.00743468,0.00743468
104,43848,2.01567,2.35905,3.37029,0.67646,0.41459,0.50494,0.32882,2.86534,3.88488,3.55964,0.00738913,0.00738913,0.00738913
105,44263.7,2.02002,2.34424,3.37513,0.68191,0.41339,0.5088,0.33138,2.85901,3.8758,3.55083,0.00734332,0.00734332,0.00734332
106,44676.8,2.02573,2.32129,3.3752,0.67775,0.41188,0.50986,0.33284,2.85026,3.86798,3.5445,0.00729725,0.00729725,0.00729725
107,45092,2.01362,2.32463,3.36425,0.67603,0.41614,0.51169,0.33479,2.84013,3.86065,3.53635,0.00725094,0.00725094,0.00725094
108,45507.5,2.00542,2.29808,3.35549,0.68972,0.418,0.51521,0.33674,2.83193,3.85351,3.52919,0.00720439,0.00720439,0.00720439
109,45922.7,2.00825,2.26024,3.34786,0.68883,0.42352,0.5176,0.33924,2.82183,3.8458,3.52109,0.00715761,0.00715761,0.00715761
110,46336.7,1.99688,2.24473,3.34446,0.68659,0.42694,0.51866,0.34,2.82224,3.82343,3.51816,0.00711059,0.00711059,0.00711059
111,46751.5,1.98673,2.23976,3.33002,0.67993,0.42776,0.51912,0.34159,2.81523,3.81317,3.51298,0.00706335,0.00706335,0.00706335
112,47165.2,1.97632,2.20694,3.31784,0.67671,0.4285,0.52274,0.34433,2.80616,3.80818,3.50409,0.00701588,0.00701588,0.00701588
113,47579.9,1.97214,2.1966,3.31712,0.67037,0.4367,0.52543,0.3472,2.80162,3.79289,3.50056,0.0069682,0.0069682,0.0069682
114,47992.2,1.9721,2.17215,3.30844,0.69466,0.4416,0.52952,0.35094,2.79633,3.78114,3.49466,0.00692031,0.00692031,0.00692031
115,48407.2,1.96768,2.16299,3.30845,0.7012,0.44806,0.53433,0.35517,2.79049,3.7632,3.49034,0.00687222,0.00687222,0.00687222
116,48830.7,1.97137,2.14554,3.3031,0.70878,0.44628,0.53943,0.35861,2.78414,3.74863,3.48333,0.00682392,0.00682392,0.00682392
117,49254.9,1.96013,2.13096,3.29762,0.71517,0.45032,0.54182,0.36206,2.77724,3.73383,3.47952,0.00677543,0.00677543,0.00677543
118,49679.3,1.9643,2.08675,3.30221,0.71322,0.45051,0.54565,0.36629,2.76781,3.71811,3.47351,0.00672675,0.00672675,0.00672675
119,50103,1.94568,2.1034,3.28016,0.72407,0.44961,0.54904,0.37014,2.76141,3.70351,3.46622,0.00667789,0.00667789,0.00667789
120,50527.5,1.945,2.07663,3.27771,0.72231,0.45366,0.55162,0.37253,2.75297,3.68971,3.46141,0.00662885,0.00662885,0.00662885
121,50951,1.9399,2.06006,3.27217,0.72483,0.45309,0.55571,0.37658,2.74543,3.67823,3.4538,0.00657963,0.00657963,0.00657963
122,51375.9,1.95273,2.03434,3.27922,0.72708,0.45303,0.55911,0.37909,2.73616,3.66677,3.44973,0.00653025,0.00653025,0.00653025
123,51800.8,1.92721,2.02915,3.2629,0.72977,0.44548,0.55962,0.37906,2.73825,3.64694,3.44672,0.00648071,0.00648071,0.00648071
124,52225.3,1.93234,2.02657,3.2698,0.73038,0.4484,0.56291,0.38018,2.73445,3.63096,3.44128,0.00643101,0.00643101,0.00643101
125,52649.4,1.92724,2.02274,3.25176,0.73002,0.45607,0.56419,0.38233,2.72827,3.61504,3.4318,0.00638115,0.00638115,0.00638115
126,53074.3,1.92352,1.98839,3.24563,0.72849,0.45961,0.56583,0.38447,2.72193,3.59764,3.42391,0.00633115,0.00633115,0.00633115
127,53498.9,1.92031,1.97454,3.24337,0.73001,0.47509,0.56625,0.3851,2.71793,3.58312,3.41888,0.00628101,0.00628101,0.00628101
128,53921.6,1.91282,1.95302,3.2335,0.73663,0.47726,0.56956,0.38792,2.70573,3.57646,3.40859,0.00623074,0.00623074,0.00623074
129,54345.9,1.90915,1.95241,3.23644,0.73655,0.47967,0.57118,0.39146,2.69617,3.56619,3.40254,0.00618034,0.00618034,0.00618034
130,54769,1.89897,1.92932,3.22043,0.73545,0.48276,0.57441,0.39463,2.68612,3.55213,3.39322,0.00612981,0.00612981,0.00612981
131,55192.6,1.89512,1.90264,3.21136,0.74838,0.48561,0.57758,0.39755,2.68051,3.53877,3.38793,0.00607916,0.00607916,0.00607916
132,55616.5,1.89054,1.88223,3.20746,0.75374,0.48352,0.57948,0.39908,2.67612,3.52617,3.38411,0.0060284,0.0060284,0.0060284
133,56040.3,1.88616,1.86848,3.20164,0.75405,0.48606,0.58296,0.40236,2.66988,3.51005,3.37932,0.00597754,0.00597754,0.00597754
134,56463.6,1.8757,1.84844,3.19239,0.75659,0.48458,0.58263,0.40225,2.66574,3.48988,3.37744,0.00592657,0.00592657,0.00592657
135,56886.9,1.87279,1.85416,3.19303,0.75015,0.48224,0.58526,0.40533,2.65584,3.47992,3.37063,0.00587551,0.00587551,0.00587551
136,57310.2,1.87578,1.80954,3.18627,0.75827,0.48516,0.58809,0.4072,2.64469,3.46784,3.36161,0.00582435,0.00582435,0.00582435
137,57733,1.85802,1.79889,3.16937,0.76381,0.48865,0.59245,0.41057,2.63517,3.45913,3.35208,0.00577311,0.00577311,0.00577311
138,58156.6,1.85157,1.77656,3.16528,0.75961,0.49407,0.59337,0.41172,2.62653,3.4512,3.34429,0.00572179,0.00572179,0.00572179
139,58581.9,1.86347,1.79025,3.17131,0.76861,0.4688,0.59653,0.41539,2.61616,3.43557,3.33286,0.0056704,0.0056704,0.0056704
140,59005.5,1.85561,1.75987,3.16982,0.77205,0.47335,0.59998,0.418,2.61191,3.41704,3.32827,0.00561894,0.00561894,0.00561894
141,59429.5,1.85487,1.76682,3.16391,0.76582,0.47527,0.60422,0.42161,2.61234,3.3946,3.32489,0.00556742,0.00556742,0.00556742
142,59853.6,1.84089,1.74156,3.14979,0.7719,0.48156,0.60621,0.42336,2.60678,3.38298,3.31921,0.00551584,0.00551584,0.00551584
143,60277.2,1.83714,1.69114,3.14391,0.77795,0.48156,0.60863,0.42488,2.60598,3.36865,3.31597,0.00546421,0.00546421,0.00546421
144,60701.7,1.83002,1.68659,3.12786,0.7734,0.48362,0.61157,0.42655,2.60066,3.3606,3.31028,0.00541253,0.00541253,0.00541253
145,61126,1.82669,1.65797,3.12686,0.77393,0.48442,0.61225,0.42723,2.59466,3.3536,3.30441,0.00536081,0.00536081,0.00536081
146,61550.3,1.82119,1.6436,3.12512,0.7769,0.48575,0.6152,0.42981,2.58838,3.34414,3.29767,0.00530906,0.00530906,0.00530906
147,61973.5,1.81363,1.63453,3.1119,0.7754,0.48675,0.61662,0.43111,2.58428,3.32946,3.29189,0.00525728,0.00525728,0.00525728
148,62397.3,1.81101,1.62202,3.103,0.77764,0.49148,0.61919,0.4341,2.58163,3.32011,3.28891,0.00520548,0.00520548,0.00520548
149,62821.6,1.80634,1.62048,3.09565,0.78294,0.49154,0.62134,0.43558,2.57614,3.31431,3.28356,0.00515366,0.00515366,0.00515366
150,63245.7,1.8052,1.60433,3.09381,0.78295,0.49416,0.62456,0.43805,2.57399,3.29787,3.27746,0.00510184,0.00510184,0.00510184
151,63669,1.79719,1.59618,3.09184,0.77969,0.49724,0.62443,0.43891,2.57307,3.28067,3.27168,0.00505,0.00505,0.00505
