epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17522.1,2.27959,3.74221,3.79968,0.4209,0.31294,0.33307,0.20173,3.05228,4.47335,3.91579,0.00955072,0.00955072,0.00955072
43,17939.4,2.26252,3.71433,3.77931,0.42647,0.31085,0.33504,0.20299,3.04031,4.45047,3.895,0.00952889,0.00952889,0.00952889
44,18356.2,2.256,3.66809,3.77001,0.41427,0.30461,0.3372,0.2057,3.02492,4.4544,3.87825,0.00950658,0.00950658,0.00950658
45,18773.1,2.2563,3.66692,3.77502,0.42838,0.3056,0.3376,0.2061,3.01505,4.44851,3.86928,0.00948377,0.00948377,0.00948377
46,19190.1,2.24274,3.59315,3.74702,0.41198,0.3109,0.33927,0.20646,3.01403,4.42551,3.86393,0.00946048,0.00946048,0.00946048
47,19606.8,2.23451,3.57923,3.7303,0.43183,0.31504,0.343,0.20941,3.01082,4.40388,3.86283,0.00943671,0.00943671,0.00943671
48,20024.3,2.24713,3.54694,3.74774,0.44375,0.31296,0.34714,0.21261,3.00356,4.39596,3.8571,0.00941245,0.00941245,0.00941245
49,20439.5,2.23407,3.4913,3.72879,0.44482,0.31296,0.34629,0.21301,3.0033,4.377,3.84817,0.00938772,0.00938772,0.00938772
50,20854.5,2.23346,3.47684,3.72672,0.45526,0.30788,0.3459,0.21296,3.00373,4.36363,3.84793,0.00936251,0.00936251,0.00936251
51,21270.6,2.22562,3.45692,3.72811,0.46492,0.31261,0.3507,0.21616,3.00601,4.35265,3.84375,0.00933683,0.00933683,0.00933683
52,21686.7,2.2164,3.41321,3.70092,0.47839,0.31779,0.35287,0.21743,3.00511,4.3376,3.8447,0.00931067,0.00931067,0.00931067
53,22102.3,2.21148,3.36667,3.68911,0.48462,0.31664,0.35473,0.21955,2.99735,4.32799,3.83601,0.00928405,0.00928405,0.00928405
54,22518.3,2.21842,3.34631,3.70443,0.48218,0.32123,0.35532,0.22066,2.98981,4.32987,3.82702,0.00925697,0.00925697,0.00925697
55,22933.5,2.20591,3.34144,3.68832,0.48512,0.32462,0.35859,0.22239,2.98054,4.32411,3.81977,0.00922942,0.00922942,0.00922942
56,23348.7,2.19604,3.30558,3.68598,0.49316,0.32491,0.36133,0.22457,2.97128,4.32738,3.81619,0.00920142,0.00920142,0.00920142
57,23764.9,2.19282,3.29019,3.67478,0.49088,0.32511,0.36409,0.22643,2.97227,4.31329,3.81553,0.00917296,0.00917296,0.00917296
58,24181.3,2.18819,3.26975,3.66357,0.4964,0.32444,0.36585,0.22767,2.97026,4.30027,3.81057,0.00914405,0.00914405,0.00914405
59,24598.4,2.18295,3.23935,3.66507,0.49642,0.32283,0.36871,0.23,2.97027,4.28677,3.80857,0.00911469,0.00911469,0.00911469
60,25015.6,2.18627,3.19769,3.66379,0.49867,0.32415,0.36989,0.23103,2.96607,4.28404,3.80414,0.00908488,0.00908488,0.00908488
61,25432.5,2.18019,3.1936,3.65855,0.50871,0.32529,0.37152,0.2322,2.95853,4.27997,3.79579,0.00905463,0.00905463,0.00905463
62,25848.3,2.18386,3.14127,3.65929,0.51161,0.3212,0.37282,0.23309,2.95693,4.26977,3.79273,0.00902395,0.00902395,0.00902395
63,26265.3,2.17874,3.11004,3.6437,0.50903,0.32184,0.37591,0.2359,2.94857,4.25954,3.78173,0.00899282,0.00899282,0.00899282
64,26682.3,2.17409,3.09685,3.6483,0.50584,0.31752,0.37865,0.23824,2.94579,4.24701,3.77689,0.00896127,0.00896127,0.00896127
65,27098.3,2.15647,3.08545,3.6331,0.5038,0.3157,0.38131,0.24049,2.93426,4.24595,3.76956,0.00892928,0.00892928,0.00892928
66,27516.2,2.15451,3.07629,3.6245,0.50434,0.31551,0.38224,0.24231,2.93098,4.23556,3.76588,0.00889687,0.00889687,0.00889687
67,27932.4,2.16213,3.06066,3.63378,0.51863,0.3129,0.38612,0.24458,2.92952,4.22033,3.76287,0.00886404,0.00886404,0.00886404
68,28347.8,2.1517,3.01122,3.60608,0.51484,0.30889,0.38816,0.24665,2.92918,4.21144,3.7626,0.00883079,0.00883079,0.00883079
69,28762.4,2.15669,2.99523,3.62483,0.53029,0.31146,0.39257,0.24995,2.92422,4.20641,3.75766,0.00879713,0.00879713,0.00879713
70,29177.6,2.14203,2.98186,3.61302,0.52887,0.31525,0.397,0.25377,2.9195,4.2021,3.74575,0.00876305,0.00876305,0.00876305
71,29596.4,2.143,2.95404,3.60163,0.52939,0.31627,0.3994,0.25522,2.91621,4.1924,3.74589,0.00872857,0.00872857,0.00872857
72,30012.2,2.14335,2.94149,3.59033,0.53572,0.31332,0.40292,0.25733,2.91473,4.18369,3.74102,0.00869368,0.00869368,0.00869368
73,30426.9,2.12759,2.94037,3.58455,0.54436,0.31795,0.40701,0.2613,2.91149,4.17562,3.73577,0.00865839,0.00865839,0.00865839
74,30842.5,2.13078,2.90291,3.58715,0.55691,0.32135,0.41092,0.26375,2.90772,4.16326,3.73192,0.00862271,0.00862271,0.00862271
75,31258.3,2.11354,2.87315,3.56667,0.56602,0.3215,0.41487,0.26692,2.90472,4.14845,3.7299,0.00858664,0.00858664,0.00858664
76,31674.2,2.12732,2.8616,3.57745,0.56901,0.33037,0.41835,0.26944,2.90062,4.13555,3.72833,0.00855018,0.00855018,0.00855018
77,32090,2.1156,2.84281,3.56829,0.57094,0.33372,0.42098,0.2715,2.89442,4.12729,3.72156,0.00851333,0.00851333,0.00851333
78,32506.1,2.12273,2.8071,3.55859,0.57291,0.34162,0.42461,0.27365,2.89052,4.11789,3.71624,0.00847611,0.00847611,0.00847611
79,32923,2.12672,2.8035,3.56901,0.58411,0.34816,0.43045,0.2775,2.88903,4.1038,3.71325,0.00843851,0.00843851,0.00843851
80,33340.1,2.09177,2.75844,3.54424,0.58714,0.35061,0.43513,0.28032,2.88434,4.09347,3.7068,0.00840054,0.00840054,0.00840054
81,33757.2,2.08874,2.74001,3.53239,0.60124,0.35299,0.43917,0.28308,2.88948,4.07215,3.7038,0.0083622,0.0083622,0.0083622
82,34174.9,2.08996,2.74731,3.54746,0.61316,0.36251,0.44362,0.28675,2.8742,4.07872,3.6933,0.00832349,0.00832349,0.00832349
83,34591.7,2.08187,2.70932,3.5191,0.61616,0.36369,0.44849,0.28963,2.86951,4.07401,3.68745,0.00828443,0.00828443,0.00828443
84,35008.6,2.09835,2.72839,3.53675,0.62103,0.36672,0.45139,0.2913,2.86645,4.07083,3.68443,0.00824502,0.00824502,0.00824502
85,35424.8,2.09135,2.69588,3.53066,0.64232,0.36779,0.45496,0.29366,2.86258,4.06017,3.67992,0.00820525,0.00820525,0.00820525
86,35839.6,2.08316,2.69535,3.52451,0.64565,0.36653,0.45772,0.29609,2.86137,4.04941,3.67747,0.00816514,0.00816514,0.00816514
87,36255.1,2.09188,2.69,3.52412,0.65447,0.37211,0.46333,0.3001,2.86223,4.03263,3.67271,0.00812468,0.00812468,0.00812468
88,36671.4,2.07,2.67245,3.51205,0.65891,0.37645,0.46803,0.30313,2.86496,4.01168,3.67138,0.00808389,0.00808389,0.00808389
89,37086.9,2.07491,2.6485,3.5076,0.65299,0.37741,0.47235,0.30524,2.86621,3.99306,3.67269,0.00804277,0.00804277,0.00804277
90,37502.8,2.07173,2.62997,3.50083,0.65947,0.37898,0.47569,0.308,2.86813,3.97656,3.67103,0.00800131,0.00800131,0.00800131
91,37919.1,2.07229,2.6127,3.49661,0.67546,0.38185,0.48071,0.31149,2.86812,3.95536,3.6703,0.00795954,0.00795954,0.00795954
