epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2953.65,2.26433,3.64593,3.78907,0.48451,0.31076,0.33694,0.2122,3.03208,4.45368,3.91046,0.00955072,0.00955072,0.00955072
43,3376.31,2.27204,3.573,3.78711,0.47166,0.31296,0.33977,0.21446,3.02717,4.43629,3.89922,0.00952889,0.00952889,0.00952889
44,3797.72,2.26385,3.52788,3.77599,0.48095,0.30962,0.34056,0.21553,3.02636,4.42506,3.89524,0.00950658,0.00950658,0.00950658
45,4221.07,2.25643,3.52838,3.76958,0.4812,0.3086,0.34258,0.21596,3.02933,4.39968,3.89151,0.00948377,0.00948377,0.00948377
46,4643.13,2.25363,3.47151,3.76232,0.46512,0.30964,0.34754,0.22017,3.02407,4.38872,3.88541,0.00946048,0.00946048,0.00946048
47,5064.61,2.23653,3.43968,3.74568,0.47742,0.32037,0.35077,0.22202,3.01472,4.37382,3.87997,0.00943671,0.00943671,0.00943671
48,5486.46,2.23882,3.38622,3.7337,0.49543,0.31601,0.35471,0.2249,3.00163,4.37347,3.87494,0.00941245,0.00941245,0.00941245
49,5908.35,2.22859,3.36621,3.72849,0.49535,0.31426,0.35688,0.22652,2.99964,4.35537,3.86864,0.00938772,0.00938772,0.00938772
50,6330.57,2.22358,3.34042,3.71645,0.49712,0.31465,0.36119,0.22933,2.99297,4.35363,3.85549,0.00936251,0.00936251,0.00936251
51,6752.11,2.2015,3.28233,3.69403,0.5045,0.31459,0.36352,0.23104,2.99312,4.33641,3.85512,0.00933683,0.00933683,0.00933683
52,7173.4,2.20458,3.25674,3.68711,0.49944,0.31799,0.36506,0.23138,2.98297,4.34132,3.84842,0.00931067,0.00931067,0.00931067
53,7595.31,2.21645,3.2407,3.69664,0.51099,0.32261,0.3656,0.23238,2.9752,4.33267,3.84017,0.00928405,0.00928405,0.00928405
54,8016.37,2.20133,3.21995,3.66627,0.51042,0.32598,0.36744,0.23353,2.97121,4.31591,3.83201,0.00925697,0.00925697,0.00925697
55,8438.28,2.2065,3.18065,3.68191,0.51147,0.32948,0.37076,0.23582,2.9639,4.31076,3.82605,0.00922942,0.00922942,0.00922942
56,8858.89,2.1885,3.14158,3.65734,0.51391,0.32608,0.37398,0.23792,2.96046,4.29723,3.82236,0.00920142,0.00920142,0.00920142
57,9279.78,2.1838,3.13429,3.65122,0.5174,0.32454,0.37841,0.24084,2.96079,4.28296,3.81516,0.00917296,0.00917296,0.00917296
58,9701.38,2.16931,3.11689,3.64332,0.51636,0.32741,0.38092,0.24391,2.95971,4.26477,3.80787,0.00914405,0.00914405,0.00914405
59,10122.8,2.16969,3.08199,3.64596,0.52063,0.326,0.38456,0.24612,2.95297,4.25567,3.80101,0.00911469,0.00911469,0.00911469
60,10543.9,2.17452,3.05081,3.63872,0.5321,0.32745,0.38629,0.24814,2.95504,4.24634,3.79691,0.00908488,0.00908488,0.00908488
61,10965.1,2.14944,3.01862,3.62118,0.53017,0.31654,0.39009,0.25116,2.94347,4.24684,3.78735,0.00905463,0.00905463,0.00905463
62,11385.2,2.16339,2.98884,3.63224,0.53428,0.31859,0.39235,0.25282,2.94059,4.23734,3.77756,0.00902395,0.00902395,0.00902395
63,11805.4,2.14845,2.96244,3.61093,0.54007,0.3154,0.39479,0.25396,2.93669,4.22596,3.76992,0.00899282,0.00899282,0.00899282
64,12226.8,2.14465,2.93447,3.591,0.54751,0.31639,0.39664,0.25562,2.93367,4.2148,3.76369,0.00896127,0.00896127,0.00896127
65,12648.3,2.1383,2.94069,3.59445,0.55606,0.32074,0.39972,0.25751,2.92789,4.20707,3.75685,0.00892928,0.00892928,0.00892928
66,13068.3,2.12799,2.90852,3.57952,0.5686,0.32259,0.40112,0.25927,2.9227,4.20862,3.74825,0.00889687,0.00889687,0.00889687
67,13489.9,2.13766,2.90151,3.58398,0.57452,0.32168,0.40258,0.26008,2.92185,4.19727,3.74558,0.00886404,0.00886404,0.00886404
68,13909.8,2.12947,2.86263,3.5843,0.57413,0.31945,0.40225,0.26047,2.91089,4.20332,3.73483,0.00883079,0.00883079,0.00883079
69,14329.3,2.12249,2.86491,3.57795,0.57038,0.32052,0.40303,0.26174,2.90844,4.20017,3.73163,0.00879713,0.00879713,0.00879713
70,14748.8,2.11856,2.81785,3.57487,0.56312,0.31845,0.40528,0.26319,2.9073,4.18788,3.73129,0.00876305,0.00876305,0.00876305
71,15168.1,2.12001,2.80755,3.56843,0.57779,0.31419,0.40784,0.26579,2.90159,4.18006,3.72459,0.00872857,0.00872857,0.00872857
72,15588.2,2.10615,2.78107,3.55426,0.57994,0.31861,0.41168,0.26859,2.89991,4.16806,3.7211,0.00869368,0.00869368,0.00869368
73,16007.5,2.10453,2.75924,3.54729,0.5957,0.32084,0.41552,0.2711,2.88938,4.16365,3.71465,0.00865839,0.00865839,0.00865839
74,16426.6,2.08726,2.7394,3.53517,0.60545,0.32478,0.41925,0.27394,2.87676,4.15788,3.70398,0.00862271,0.00862271,0.00862271
75,16843.2,2.0961,2.71903,3.53859,0.61098,0.32263,0.42225,0.27567,2.86706,4.15108,3.6961,0.00858664,0.00858664,0.00858664
76,17263.6,2.08251,2.70845,3.52045,0.63286,0.32419,0.42659,0.27851,2.8574,4.13848,3.68939,0.00855018,0.00855018,0.00855018
77,17684.4,2.08566,2.69997,3.51813,0.63799,0.32894,0.42951,0.28144,2.85567,4.11643,3.6847,0.00851333,0.00851333,0.00851333
78,18103.8,2.07935,2.69945,3.52017,0.64165,0.33164,0.43458,0.28471,2.85755,4.09697,3.68048,0.00847611,0.00847611,0.00847611
79,18523.7,2.08532,2.66949,3.51897,0.64087,0.33727,0.43783,0.28686,2.85436,4.07946,3.67324,0.00843851,0.00843851,0.00843851
80,18946.1,2.08512,2.653,3.51497,0.65234,0.33834,0.44326,0.29042,2.85263,4.06196,3.6666,0.00840054,0.00840054,0.00840054
81,19365.7,2.07484,2.63078,3.5095,0.645,0.34169,0.44563,0.29294,2.84611,4.05465,3.6553,0.0083622,0.0083622,0.0083622
82,19787.4,2.07377,2.61146,3.51456,0.64578,0.34876,0.44906,0.29484,2.83912,4.04811,3.64784,0.00832349,0.00832349,0.00832349
83,20208.2,2.07578,2.58198,3.5059,0.6474,0.3516,0.45279,0.29739,2.83613,4.02618,3.64178,0.00828443,0.00828443,0.00828443
84,20629.8,2.04507,2.57437,3.4819,0.64346,0.35087,0.45659,0.29865,2.83204,4.00813,3.63695,0.00824502,0.00824502,0.00824502
85,21050.5,2.05675,2.52682,3.47759,0.64006,0.35335,0.46102,0.3011,2.81918,4.0075,3.62879,0.00820525,0.00820525,0.00820525
86,21472.7,2.05677,2.52135,3.47592,0.64127,0.35885,0.46377,0.30304,2.81592,3.98739,3.62497,0.00816514,0.00816514,0.00816514
87,21897.7,2.05651,2.51209,3.47611,0.64534,0.36404,0.46894,0.30663,2.80655,3.97914,3.6205,0.00812468,0.00812468,0.00812468
88,22319.9,2.03814,2.49613,3.45444,0.65102,0.36509,0.4708,0.30798,2.80285,3.96107,3.61703,0.00808389,0.00808389,0.00808389
89,22741.1,2.04723,2.45982,3.46958,0.64598,0.37074,0.47384,0.31051,2.79292,3.94949,3.60585,0.00804277,0.00804277,0.00804277
90,23162.6,2.03141,2.4744,3.45567,0.65155,0.37506,0.47851,0.31337,2.78761,3.93507,3.601,0.00800131,0.00800131,0.00800131
91,23585.2,2.03638,2.44248,3.45346,0.65876,0.38157,0.48459,0.31775,2.78646,3.91061,3.59352,0.00795954,0.00795954,0.00795954
92,24006.2,2.03081,2.41486,3.44178,0.65606,0.38311,0.49094,0.32179,2.77432,3.907,3.58501,0.00791744,0.00791744,0.00791744
93,24428.9,2.02978,2.41286,3.4432,0.65795,0.39029,0.4959,0.32487,2.77404,3.87846,3.58141,0.00787503,0.00787503,0.00787503
94,24850.8,2.02128,2.39346,3.43959,0.65807,0.39799,0.49829,0.32695,2.77047,3.85937,3.5748,0.00783231,0.00783231,0.00783231
95,25270.9,2.01002,2.38303,3.42393,0.66592,0.40311,0.50465,0.33088,2.76614,3.83965,3.56862,0.00778929,0.00778929,0.00778929
96,25692.8,2.0083,2.37035,3.42503,0.67794,0.40682,0.50883,0.33435,2.7628,3.8216,3.56484,0.00774596,0.00774596,0.00774596
97,26115.1,2.01029,2.34496,3.42464,0.66564,0.40944,0.51284,0.33747,2.75843,3.81213,3.55899,0.00770234,0.00770234,0.00770234
98,26536.2,2.00297,2.33289,3.40883,0.67307,0.41724,0.51563,0.33935,2.75495,3.79759,3.55258,0.00765843,0.00765843,0.00765843
