epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17893.1,2.26594,3.75003,3.8369,0.46601,0.35361,0.34194,0.21142,2.98999,4.42297,3.92796,0.00955072,0.00955072,0.00955072
43,18318.9,2.25284,3.7668,3.83552,0.46274,0.35571,0.34318,0.21203,2.98947,4.41582,3.92848,0.00952889,0.00952889,0.00952889
44,18744.1,2.24355,3.70579,3.82608,0.48583,0.34729,0.35066,0.21638,2.98357,4.41422,3.92725,0.00950658,0.00950658,0.00950658
45,19170.4,2.23722,3.66128,3.80625,0.50098,0.34608,0.35766,0.2208,2.97922,4.40793,3.92349,0.00948377,0.00948377,0.00948377
46,19596.3,2.22998,3.60807,3.79801,0.50223,0.33884,0.36678,0.2273,2.97631,4.38081,3.92007,0.00946048,0.00946048,0.00946048
47,20022.8,2.22981,3.60919,3.79885,0.5247,0.3493,0.37135,0.2303,2.97199,4.36462,3.9165,0.00943671,0.00943671,0.00943671
48,20449,2.21495,3.5828,3.77462,0.52561,0.35032,0.37418,0.23259,2.96236,4.34935,3.90564,0.00941245,0.00941245,0.00941245
49,20875.5,2.21351,3.54674,3.78373,0.51255,0.34936,0.37871,0.23654,2.95118,4.3414,3.89707,0.00938772,0.00938772,0.00938772
50,21301.9,2.19823,3.51914,3.76918,0.50951,0.3445,0.38166,0.23741,2.94481,4.32986,3.88944,0.00936251,0.00936251,0.00936251
51,21728.1,2.22232,3.47843,3.77207,0.51167,0.34417,0.3857,0.23975,2.94207,4.30827,3.88706,0.00933683,0.00933683,0.00933683
52,22155,2.2035,3.40474,3.74851,0.52615,0.34246,0.38858,0.24159,2.93792,4.29307,3.88136,0.00931067,0.00931067,0.00931067
53,22581.9,2.2055,3.36039,3.73037,0.51854,0.34517,0.38741,0.24137,2.93088,4.27493,3.87837,0.00928405,0.00928405,0.00928405
